PERMNO,date,TICKER,RET,RETX
18411,29-10-2021,SO,0.005648,0.005648
18411,30-11-2021,SO,-0.008986,-0.019576
18411,31-12-2021,SO,0.122422,0.122422
18411,31-01-2022,SO,0.013269,0.013269
18411,28-02-2022,SO,-0.058426,-0.067923
18411,31-03-2022,SO,0.1195,0.1195
18411,29-04-2022,SO,0.012136,0.012136
18411,31-05-2022,SO,0.040196,0.030931
18411,30-06-2022,SO,-0.057494,-0.057494
18411,29-07-2022,SO,0.07825,0.07825
18411,31-08-2022,SO,0.011185,0.002341
18411,30-09-2022,SO,-0.117685,-0.117685
18411,31-10-2022,SO,-0.037059,-0.037059
18411,30-11-2022,SO,0.043372,0.032987
18411,30-12-2022,SO,0.055736,0.055736
18411,31-01-2023,SO,-0.052234,-0.052234
18411,28-02-2023,SO,-0.058215,-0.068262
18411,31-03-2023,SO,0.103394,0.103394
18411,28-04-2023,SO,0.057057,0.057057
18411,31-05-2023,SO,-0.042148,-0.051666
18411,30-06-2023,SO,0.007168,0.007168
18411,31-07-2023,SO,0.029751,0.029751
18411,31-08-2023,SO,-0.05405,-0.063727
18411,29-09-2023,SO,-0.044441,-0.044441
18411,31-10-2023,SO,0.039864,0.039864
18411,30-11-2023,SO,0.065082,0.054681
18411,29-12-2023,SO,-0.012116,-0.012116
19561,31-01-2014,BA,-0.082277,-0.082277
19561,28-02-2014,BA,0.035047,0.029219
19561,31-03-2014,BA,-0.026606,-0.026606
19561,30-04-2014,BA,0.02813,0.02813
19561,30-05-2014,BA,0.053945,0.048287
19561,30-06-2014,BA,-0.059298,-0.059298
19561,31-07-2014,BA,-0.053054,-0.053054
19561,29-08-2014,BA,0.058516,0.052457
19561,30-09-2014,BA,0.004574,0.004574
19561,31-10-2014,BA,-0.019391,-0.019391
19561,28-11-2014,BA,0.081499,0.075654
19561,31-12-2014,BA,-0.032599,-0.032599
19561,30-01-2015,BA,0.118403,0.118403
19561,27-02-2015,BA,0.043957,0.037697
19561,31-03-2015,BA,-0.005104,-0.005104
19561,30-04-2015,BA,-0.044909,-0.044909
19561,29-05-2015,BA,-0.013325,-0.019673
19561,30-06-2015,BA,-0.01281,-0.01281
19561,31-07-2015,BA,0.039288,0.039288
19561,31-08-2015,BA,-0.087258,-0.09357
19561,30-09-2015,BA,0.002066,0.002066
19561,30-10-2015,BA,0.130737,0.130737
19561,30-11-2015,BA,-0.011549,-0.017694
19561,31-12-2015,BA,-0.005913,-0.005913
19561,29-01-2016,BA,-0.169168,-0.169168
19561,29-02-2016,BA,-0.007159,-0.016232
19561,31-03-2016,BA,0.074124,0.074124
19561,29-04-2016,BA,0.061919,0.061919
19561,31-05-2016,BA,-0.056083,-0.064169
19561,30-06-2016,BA,0.029489,0.029489
19561,29-07-2016,BA,0.029183,0.029183
19561,31-08-2016,BA,-0.023343,-0.031498
19561,30-09-2016,BA,0.01769,0.01769
19561,31-10-2016,BA,0.081145,0.081145
19561,30-11-2016,BA,0.064734,0.057081
19561,30-12-2016,BA,0.034006,0.034006
19561,31-01-2017,BA,0.049717,0.049717
19561,28-02-2017,BA,0.111553,0.102864
19561,31-03-2017,BA,-0.018698,-0.018698
19561,28-04-2017,BA,0.045064,0.045064
19561,31-05-2017,BA,0.022832,0.015149
19561,30-06-2017,BA,0.053936,0.053936
19561,31-07-2017,BA,0.226094,0.226094
19561,31-08-2017,BA,-0.005692,-0.011548
19561,29-09-2017,BA,0.060711,0.060711
19561,31-10-2017,BA,0.01483,0.01483
19561,30-11-2017,BA,0.078456,0.072951
19561,29-12-2017,BA,0.065426,0.065426
19561,31-01-2018,BA,0.201621,0.201621
19561,28-02-2018,BA,0.026949,0.022124
